0,
0.001,1.11022e-15,5,0.238095,0.047619
0.002,1.16573e-15,5,0.464853,0.0453515
0.003,1.68615e-15,5,0.680812,0.0431919
0.004,5.34295e-16,5,0.886488,0.0411351
0.005,1.08941e-15,5,1.08237,0.0391763
0.006,1.9082e-15,5,1.26892,0.0373108
0.007,1.20737e-15,5,1.44659,0.0355341
0.008,1.85268e-15,5,1.6158,0.033842
0.009,1.24206e-15,5,1.77696,0.0322304
0.01,1.51268e-15,5,1.93043,0.0306957
0.011,9.15934e-16,5,2.0766,0.029234
0.012,9.85323e-16,5,2.21581,0.0278419
0.013,9.15934e-16,5,2.34839,0.0265161
0.014,1.41553e-15,5,2.47466,0.0252534
0.015,6.52256e-16,5,2.59491,0.0240509
0.016,1.4988e-15,5,2.70944,0.0229056
0.017,1.96371e-15,5,2.81852,0.0218148
0.018,1.93595e-15,5,2.9224,0.020776
0.019,1.40166e-15,5,3.02133,0.0197867
0.02,1.02696e-15,5,3.11555,0.0188445
0.021,1.08941e-15,5,3.20529,0.0179471
0.022,1.19349e-15,5,3.29075,0.0170925
0.023,9.50628e-16,5,3.37214,0.0162786
0.024,1.01308e-15,5,3.44966,0.0155034
0.025,1.58901e-15,5,3.52349,0.0147651
0.026,1.07553e-15,5,3.5938,0.014062
0.027,5.41234e-16,5,3.66076,0.0133924
0.028,1.98452e-15,5,3.72453,0.0127547
0.029,7.35523e-16,5,3.78527,0.0121473
0.03,9.78384e-16,5,3.84311,0.0115689
0.031,1.76248e-15,5,3.8982,0.011018
0.032,1.36696e-15,5,3.95067,0.0104933
0.033,2.00534e-15,5,4.00064,0.00999363
0.034,1.25594e-15,5,4.04823,0.00951774
0.035,1.39472e-15,5,4.09355,0.00906451
0.036,1.31145e-15,5,4.13671,0.00863287
0.037,1.70003e-15,5,4.17782,0.00822178
0.038,1.26982e-15,5,4.21697,0.00783027
0.039,1.15186e-15,5,4.25426,0.0074574
0.04,1.20737e-15,5,4.28977,0.00710228
0.041,1.68615e-15,5,4.32359,0.00676408
0.042,1.11716e-15,5,4.3558,0.00644198
0.043,1.22125e-15,5,4.38648,0.00613522
0.044,9.78384e-16,5,4.41569,0.00584307
0.045,1.17267e-15,5,4.44352,0.00556483
0.046,1.22818e-15,5,4.47002,0.00529983
0.047,1.06859e-15,5,4.49525,0.00504746
0.048,6.17562e-16,5,4.51929,0.00480711
0.049,9.99201e-16,5,4.54218,0.0045782
0.05,1.36002e-15,5,4.56398,0.00436019
0.051,1.11022e-15,5,4.58474,0.00415256
0.052,1.59595e-15,5,4.60452,0.00395482
0.053,6.52256e-16,5,4.62335,0.00376649
0.054,1.8735e-15,5,4.64129,0.00358714
0.055,1.05471e-15,5,4.65837,0.00341632
0.056,1.36696e-15,5,4.67464,0.00325364
0.057,1.54043e-15,5,4.69013,0.0030987
0.058,1.36696e-15,5,4.70489,0.00295115
0.059,7.35523e-16,5,4.71894,0.00281061
0.06,1.31839e-15,5,4.73232,0.00267678
0.061,9.85323e-16,5,4.74507,0.00254931
0.062,1.72778e-15,5,4.75721,0.00242791
0.063,9.15934e-16,5,4.76877,0.0023123
0.064,1.15186e-15,5,4.77978,0.00220219
0.065,8.74301e-16,5,4.79027,0.00209732
0.066,1.02002e-15,5,4.80025,0.00199745
0.067,1.59595e-15,5,4.80977,0.00190233
0.068,1.70697e-15,5,4.81883,0.00181175
0.069,4.71845e-16,5,4.82745,0.00172547
0.07,1.49186e-15,5,4.83567,0.00164331
0.071,1.74166e-15,5,4.84349,0.00156506
0.072,1.30451e-15,5,4.85095,0.00149053
0.073,1.31839e-15,5,4.85804,0.00141955
0.074,1.36002e-15,5,4.8648,0.00135195
0.075,6.52256e-16,5,4.87124,0.00128758
0.076,1.44329e-15,5,4.87737,0.00122626
0.077,1.36002e-15,5,4.88321,0.00116787
0.078,1.32533e-15,5,4.88877,0.00111226
0.079,1.50574e-15,5,4.89407,0.00105929
0.08,1.3739e-15,5,4.89912,0.00100885
0.081,1.71391e-15,5,4.90392,0.000960808
0.082,4.71845e-16,5,4.90849,0.000915056
0.083,1.15186e-15,5,4.91285,0.000871482
0.084,1.97065e-15,5,4.917,0.000829982
0.085,1.31145e-15,5,4.92095,0.000790459
0.086,1.74166e-15,5,4.92472,0.000752819
0.087,4.996e-16,5,4.9283,0.00071697
0.088,1.22125e-15,5,4.93172,0.000682829
0.089,1.65146e-15,5,4.93497,0.000650313
0.09,1.26288e-15,5,4.93807,0.000619346
0.091,1.11022e-15,5,4.94101,0.000589853
